1.00000000e-01,0.00000000e+00,7.67469406e-04,1.00000000e+00,8.79998181e+00,9.95014586e-01,2.04613039e+00,1.62649495e+04,1.23501064e-01,2.84489640e+00
2.00000000e-01,0.00000000e+00,6.58273697e-04,1.00000000e+00,1.76922000e+01,9.79792841e-01,2.22222443e+00,1.42431277e+04,6.48299733e-01,4.72224566e+00
3.00000000e-01,0.00000000e+00,7.89165497e-04,1.00000000e+00,3.14389084e+01,9.51793864e-01,2.56812593e+00,1.78290629e+04,1.63219213e+00,7.33557494e+00
4.00000000e-01,0.00000000e+00,6.50644302e-04,1.00000000e+00,6.41348890e+01,9.00541248e-01,3.24422653e+00,3.71126081e+04,3.37960873e+00,1.19730886e+01
5.00000000e-01,0.00000000e+00,9.28878784e-04,1.00000000e+00,2.15921135e+02,7.77974719e-01,5.05996884e+00,9.19295638e+04,7.03455938e+00,2.32390944e+01
6.00000000e-01,0.00000000e+00,1.72424316e-03,1.00000000e+00,5.87073009e+03,1.60282710e-01,2.49463600e+01,4.72546178e+03,-9.35157341e+00,6.39062995e+01
7.00000000e-01,0.00000000e+00,7.58814812e-03,1.00000000e+00,1.17302893e+05,9.79978379e-03,1.16139066e+03,4.62176586e+03,-7.96706550e+02,-3.28642540e-01
8.00000000e-01,0.00000000e+00,2.65479088e-03,1.00000000e+00,1.16578862e+05,2.57768017e-02,3.01750122e+03,4.56732768e+03,-7.92170203e+02,-3.30792167e-01
9.00000000e-01,0.00000000e+00,1.87516212e-03,1.00000000e+00,1.14659845e+05,4.18920744e-02,4.81584061e+03,4.41644724e+03,-7.79133343e+02,-3.36765462e-01
1.00000000e+00,0.00000000e+00,1.60384178e-03,1.00000000e+00,1.12737702e+05,5.80306517e-02,6.55478238e+03,4.26513507e+03,-7.66075133e+02,-3.43186410e-01
1.10000000e+00,0.00000000e+00,1.82819366e-03,1.00000000e+00,1.10811823e+05,7.42036081e-02,8.23522454e+03,4.11333251e+03,-7.52991658e+02,-3.50109694e-01
1.20000000e+00,0.00000000e+00,1.85918808e-03,1.00000000e+00,1.08880749e+05,9.04235605e-02,9.85803030e+03,3.96091110e+03,-7.39873025e+02,-3.57602690e-01
1.30000000e+00,0.00000000e+00,1.78098679e-03,1.00000000e+00,1.06942837e+05,1.06704757e-01,1.14240243e+04,3.80772559e+03,-7.26708083e+02,-3.65746087e-01
1.40000000e+00,0.00000000e+00,1.63388252e-03,1.00000000e+00,1.04996220e+05,1.23063403e-01,1.29339901e+04,3.65361061e+03,-7.13484171e+02,-3.74637447e-01
1.50000000e+00,0.00000000e+00,1.53493881e-03,1.00000000e+00,1.03038762e+05,1.39518079e-01,1.43886667e+04,3.49837637e+03,-7.00186806e+02,-3.84396023e-01
1.60000000e+00,0.00000000e+00,1.42693520e-03,1.00000000e+00,1.01068000e+05,1.56090274e-01,1.57887448e+04,3.34180312e+03,-6.86799280e+02,-3.95169347e-01
